Callsign,Relay of,Frequency,City,S/P,Country,Format,Slogan,ID,ERP-H,ERP-V,HAAT-H,HAAT-V,Lat-N,Long-W,Lang,Mode,PI Code,PS Info,Radiotext,PTY,Remarks
K208GM,KVSS 102.7,89.5,FALLS CITY,NE,USA,RELIGIOUS TEACHING,,47997,0.062,0.062,177.7,177.7,40-13-11,95-39-55,,,D47C,,,,from 88.9 (K205FP)
K208GR,KAWZ 89.9,89.5,WICHITA,KS,USA,RELIGIOUS TEACHING,CSN INTERNATIONAL,93158,0,0.25,0,0,37-43-05,97-19-06,,,,,,,
K208DH,KEFX 88.9,89.5,AMARILLO,TX,USA,CHRISTIAN CHR + ROCK,EFFECT RADIO,91129,0,0.075,0,126.6,35-13-36,102-00-24,,,,,,,
WRNF,,89.5,SELMA,AL,USA,RELIGIOUS TEACHING,MOODY RADIO,87367,6,6,100,100,32-32-50,86-55-33,,,8.20E+04,,,,
WNNU,WNNZ 640,89.5,GREAT BARRINGTON,MA,USA,CLASSICAL,CLASSICAL NEPM,174491,0,0.27,0,196.2,42-14-34,73-29-13,,,7.86E+03,,,,
WCNP,,89.5,BARABOO,WI,USA,RELIGIOUS TEACHING,CLASSICALLY CHRISTIAN,166588,6.5,6.5,321,321,43-25-40,89-39-06,,,5B51,WCNPFM.ORG 89.5 Music Faith Community LIke us on Facebook,WCNP-FM 89.5 Music Faith Community 2014,Religious Music,Classical & religious teaching
CHWK-FM,,89.5,CHILLIWACK,BC,CAN,COUNTRY,89.5 JR COUNTRY,900085,1.6,0,188.7,0,49-06-35,121-50-52,,,,,,,
CJSE-FM,,89.5,SHEDIAC,NB,CAN,COUNTRY,,900086,0,38,0,152,46-11-04,64-52-52,French,,CB30 - 'WXC',CJSMFM89,,Country,
CFGB-FM,,89.5,HAPPY VALLEY-GOOSE BAY,NL,CAN,NEWS/TALK,CBC RADIO ONE GOOSE BAY,900087,4.5,4.5,195.5,195.5,53-17-57,60-32-12,,Mono,,,,,
CBYP-FM,CBY-990,89.5,PORTLAND CREEK,NL,CAN,NEWS/TALK,CBC RADIO ONE CORNER BROOK,900088,0.901,0.901,108,0,50-08-42,57-37-39,,Mono,,,,,
CBHN-FM,CBHA-FM 90.5,89.5,NEW GLASGOW,NS,CAN,NEWS/TALK,CBC RADIO ONE HALIFAX,900089,1.2,1.2,129,129,45-32-02,62-38-10,,Mono,,,,,
CJRL-FM,,89.5,KENORA,ON,CAN,ADULT CONTEMPORARY,THE LAKE,900101,50,21.5,105,0,49-46-45,94-27-26,,,FFFF,The Lake,Song/artist on The Lake,Adult Hits,
